,label,win,points,aces,dealer card,round,game number
31275,0,True,14,0,9,0,26152
31277,0,True,20,0,5,0,26154
31287,0,True,19,0,7,0,26161
31290,1,True,10,0,9,0,26165
31291,0,True,20,0,9,1,26165
31299,1,True,8,0,3,0,26170
31300,1,True,19,1,3,1,26170
31301,0,True,19,1,3,2,26170
31303,0,True,18,0,10,0,26172
31311,0,True,20,0,2,0,26177
31312,0,True,16,0,2,0,26178
31315,0,True,16,0,2,0,26180
31323,0,True,17,0,6,0,26186
31324,0,True,16,0,4,0,26187
31325,1,True,10,0,10,0,26188
31326,0,True,17,0,10,1,26188
31337,0,True,20,0,8,0,26197
31341,0,True,20,0,8,0,26200
31346,0,True,20,0,6,0,26204
31350,0,True,18,0,5,0,26208
31353,0,True,20,0,8,0,26210
31354,0,True,14,1,9,0,26211
31356,0,True,20,0,7,0,26214
31362,0,True,20,0,10,0,26219
31371,0,True,13,0,2,0,26227
31372,0,True,20,0,10,0,26228
31373,0,True,19,0,10,0,26229
31379,1,True,10,0,10,0,26235
31380,0,True,16,0,10,1,26235
31391,1,True,7,0,10,0,26246
31392,0,True,17,0,10,1,26246
31396,1,True,10,0,6,0,26249
31397,0,True,13,0,6,1,26249
31400,0,True,20,1,3,0,26252
31417,1,True,12,0,10,0,26268
31418,0,True,15,0,10,1,26268
31428,0,True,19,0,7,0,26275
31429,0,True,16,0,5,0,26276
31433,1,True,15,0,9,0,26279
31434,0,True,20,0,5,0,26281
31443,1,True,9,0,7,0,26291
31444,0,True,20,1,7,1,26291
31449,1,True,16,0,2,0,26295
31450,0,True,18,0,2,1,26295
31451,1,True,14,0,4,0,26296
31452,0,True,17,0,4,1,26296
31457,0,True,19,0,4,0,26300
31461,1,True,10,0,10,0,26303
31462,0,True,16,0,10,1,26303
31468,1,True,13,0,2,0,26310
31469,0,True,19,0,2,1,26310
31471,0,True,18,0,7,0,26313
31472,0,True,20,0,8,0,26314
31474,0,True,20,0,6,0,26316
31479,0,True,20,1,8,0,26319
31483,0,True,19,0,10,0,26325
31484,1,True,10,0,7,0,26326
31485,0,True,20,0,7,1,26326
31486,1,True,12,0,10,0,26327
31487,0,True,20,0,10,1,26327
31493,0,True,16,0,7,0,26332
31496,0,True,18,0,11,0,26335
31504,0,True,19,1,2,0,26342
31506,0,True,19,0,6,0,26345
31513,0,True,20,0,8,0,26352
31516,1,True,12,0,2,0,26356
31517,1,True,17,0,7,0,26357
31518,1,True,19,0,7,1,26357
31526,1,True,14,0,10,0,26365
31529,0,True,20,0,10,0,26368
31532,1,True,19,0,10,0,26370
31533,0,True,20,0,10,0,26371
31542,1,True,17,0,6,0,26383
31543,0,True,19,0,6,1,26383
31544,1,True,13,0,10,0,26384
31545,0,True,19,0,10,1,26384
31546,0,True,19,1,10,0,26385
31548,0,True,19,0,9,0,26388
31549,0,True,20,0,10,0,26389
31554,1,True,14,0,5,0,26393
31555,0,True,18,0,5,1,26393
31556,0,True,16,1,10,0,26394
31564,0,True,19,1,5,0,26400
31565,0,True,19,1,4,0,26401
31568,1,True,16,0,2,0,26405
31571,0,True,20,0,8,0,26408
31581,1,True,13,0,4,0,26416
31582,0,True,16,0,4,1,26416
31583,1,True,14,0,11,0,26417
31584,0,True,19,0,11,1,26417
31585,0,True,20,0,4,0,26418
31588,0,True,20,0,3,0,26420
31589,0,True,17,1,2,0,26421
31600,1,True,16,1,9,0,26432
31605,1,True,18,0,10,0,26435
31606,0,True,20,0,10,1,26435
31615,1,True,6,0,2,0,26441
31616,1,True,10,0,2,1,26441
31617,0,True,20,0,2,2,26441
31622,1,True,9,0,7,0,26445
31623,0,True,16,0,7,1,26445
31625,1,True,20,0,10,0,26448
31629,1,True,9,0,10,0,26452
31630,0,True,20,1,10,1,26452
31631,0,True,20,0,7,0,26453
31636,0,True,18,0,5,0,26459
31638,0,True,13,1,5,0,26461
31649,0,True,18,0,6,0,26471
31655,0,True,15,0,3,0,26476
31656,0,True,18,1,6,0,26477
31670,1,True,11,0,10,0,26486
31680,0,True,18,1,6,0,26494
31681,0,True,16,0,10,0,26495
31683,0,True,20,0,10,0,26497
31686,0,True,19,0,2,0,26499
31688,0,True,19,0,8,0,26501
31703,0,True,17,0,9,0,26515
31707,1,True,13,0,2,0,26518
31708,1,True,14,1,2,1,26518
31709,0,True,17,1,2,2,26518
31712,0,True,14,0,10,0,26522
31713,0,True,18,0,4,0,26523
31721,1,True,14,1,2,0,26529
31722,1,True,15,2,2,1,26529
31723,0,True,20,2,2,2,26529
31725,1,True,10,0,6,0,26531
31726,0,True,15,0,6,1,26531
31728,1,True,19,0,6,0,26533
31730,0,True,20,0,7,0,26535
31731,0,True,17,0,4,0,26537
31735,1,True,10,0,11,0,26540
31736,1,True,9,0,3,0,26541
31737,0,True,19,0,3,1,26541
31739,0,True,17,0,10,0,26543
31765,0,True,13,0,10,0,26567
31770,1,True,7,0,6,0,26572
31771,0,True,17,0,6,1,26572
31772,1,True,18,0,6,0,26574
31773,0,True,16,0,10,0,26575
31793,0,True,20,0,10,0,26590
31797,1,True,12,0,4,0,26593
31799,0,True,19,0,5,0,26595
31804,0,True,19,0,7,0,26599
31805,0,True,19,1,9,0,26600
31808,1,True,7,0,3,0,26602
31809,1,True,14,0,3,1,26602
31813,1,True,16,1,4,0,26605
31821,0,True,20,0,3,0,26612
31822,1,True,11,0,8,0,26613
31827,0,True,16,0,10,0,26617
31828,0,True,19,0,10,0,26618
31829,0,True,19,1,10,0,26619
31832,0,True,20,0,7,0,26621
31833,0,True,20,0,3,0,26622
31839,0,True,19,0,10,0,26625
31844,0,True,20,0,3,0,26630
31849,0,True,20,1,8,0,26634
31850,0,True,20,0,8,0,26635
31854,1,True,11,0,7,0,26639
31855,1,True,14,0,5,0,26640
31856,1,True,16,0,5,1,26640
31879,0,True,20,0,3,0,26659
31881,1,True,13,1,7,0,26661
31882,0,True,20,0,7,0,26663
31886,1,True,6,0,10,0,26666
31887,1,True,8,0,10,1,26666
31888,0,True,18,0,10,2,26666
31893,0,True,18,0,6,0,26671
31894,1,True,15,0,5,0,26672
31895,0,True,19,0,5,1,26672
31898,0,True,15,1,10,0,26675
31904,0,True,18,0,10,0,26679
31908,1,True,9,0,5,0,26682
31909,0,True,19,0,5,1,26682
31912,0,True,17,0,2,0,26684
31914,1,True,15,0,6,0,26686
31915,0,True,19,0,6,1,26686
31918,0,True,15,0,4,0,26689
31921,1,True,10,0,6,0,26692
31922,1,True,17,0,6,1,26692
31923,0,True,20,0,6,2,26692
31924,1,True,18,1,10,0,26693
31925,0,True,18,1,10,1,26693
31939,0,True,19,0,2,0,26705
31948,0,True,20,0,11,0,26713
31950,0,True,18,1,4,0,26715
31955,1,True,10,0,11,0,26719
31962,0,True,19,0,5,0,26725
31969,1,True,5,0,10,0,26730
31970,0,True,16,1,10,1,26730
31971,0,True,20,0,2,0,26731
31976,0,True,19,0,6,0,26737
31981,1,True,18,0,10,0,26741
31982,0,True,20,0,10,1,26741
31990,0,True,20,0,8,0,26751
31995,0,True,20,0,7,0,26754
32000,1,True,18,0,11,0,26759
32001,0,True,20,0,11,1,26759
32003,0,True,20,0,4,0,26761
32005,1,True,13,0,5,0,26763
32006,0,True,18,0,5,1,26763
32012,0,True,18,0,6,0,26768
32014,0,True,14,0,5,0,26770
32017,0,True,19,1,8,0,26773
32025,0,True,13,0,4,0,26780
32029,1,True,9,0,10,0,26783
32030,1,True,11,0,10,1,26783
32042,1,True,8,0,9,0,26793
32043,1,True,15,0,9,1,26793
32044,0,True,19,0,9,2,26793
32048,1,True,15,1,10,0,26796
32049,0,True,18,1,10,1,26796
32055,0,True,19,1,7,0,26801
32065,0,True,18,0,8,0,26809
32066,0,True,20,0,3,0,26810
32067,1,True,13,0,8,0,26811
32068,0,True,16,0,8,1,26811
32070,0,True,18,0,10,0,26813
32074,0,True,18,0,5,0,26817
32077,1,True,13,0,10,0,26821
32090,0,True,20,0,10,0,26833
32094,0,True,15,0,10,0,26837
32099,1,True,7,0,8,0,26841
32100,0,True,17,0,8,1,26841
32103,1,True,10,0,3,0,26843
32104,0,True,20,0,3,1,26843
32106,0,True,20,0,10,0,26845
32115,1,True,8,0,10,0,26853
32116,0,True,17,0,10,1,26853
32129,1,True,9,0,4,0,26863
32130,0,True,20,1,4,1,26863
32132,0,True,19,0,10,0,26865
32136,0,True,20,0,8,0,26869
32137,0,True,15,0,10,0,26870
32138,0,True,18,1,3,0,26871
32144,1,True,11,0,6,0,26876
32145,0,True,17,0,6,1,26876
32148,0,True,19,0,2,0,26880
32156,1,True,11,0,10,0,26887
32157,1,True,16,0,10,1,26887
32169,1,True,11,0,10,0,26896
32170,0,True,20,0,8,0,26897
32177,1,True,9,0,6,0,26905
32178,0,True,19,0,6,1,26905
32184,1,True,10,0,10,0,26911
32186,1,True,10,0,5,0,26914
32187,1,True,17,0,5,1,26914
32188,0,True,19,0,5,2,26914
32189,0,True,16,0,10,0,26915
32190,1,True,20,0,2,0,26916
32192,1,True,10,0,7,0,26918
32193,0,True,19,0,7,1,26918
32195,0,True,18,0,2,0,26920
32198,0,True,20,1,11,0,26922
32205,1,True,14,1,8,0,26930
32206,0,True,19,1,8,1,26930
32217,1,True,14,0,7,0,26942
32218,0,True,19,0,7,1,26942
32224,0,True,20,0,2,0,26947
32225,0,True,17,1,2,0,26948
32226,0,True,18,0,11,0,26949
32245,0,True,20,0,6,0,26963
32249,1,True,18,0,5,0,26969
32250,0,True,20,0,5,1,26969
32254,1,True,8,0,7,0,26975
32255,0,True,18,0,7,1,26975
32265,0,True,18,1,10,0,26984
32267,0,True,20,1,10,0,26986
32272,0,True,20,0,9,0,26990
32280,1,True,12,0,9,0,26997
32281,0,True,20,0,8,0,26998
32282,0,True,20,0,10,0,26999
32285,0,True,16,0,10,0,27001
32297,1,True,5,0,3,0,27011
32298,0,True,15,0,3,1,27011
32299,0,True,20,0,10,0,27012
32300,0,True,13,0,9,0,27013
32301,1,True,9,0,3,0,27014
32302,0,True,16,0,3,1,27014
32303,0,True,16,0,5,0,27015
32304,1,True,10,0,9,0,27017
32306,0,True,20,0,10,0,27019
32308,0,True,18,0,3,0,27022
32315,0,True,20,0,6,0,27030
32323,0,True,15,0,5,0,27036
32328,0,True,16,0,11,0,27039
32329,1,True,8,0,5,0,27040
32330,1,True,10,0,5,1,27040
32331,0,True,20,0,5,2,27040
32335,1,True,18,1,5,0,27043
32336,0,True,19,2,5,1,27043
32339,1,True,15,0,8,0,27046
32341,0,True,20,0,8,0,27048
32344,0,True,15,0,10,0,27053
32346,1,True,17,1,3,0,27055
32348,1,True,8,0,4,0,27057
32349,0,True,18,0,4,1,27057
32351,0,True,20,0,8,0,27061
32354,0,True,20,0,6,0,27065
32355,1,True,11,0,8,0,27067
32356,0,True,18,0,8,1,27067
32369,1,True,14,0,10,0,27079
32374,0,True,20,0,6,0,27083
32380,0,True,20,0,8,0,27088
32382,0,True,20,0,10,0,27090
32390,0,True,18,0,10,0,27097
32392,1,True,11,0,10,0,27099
32393,0,True,20,0,10,1,27099
32396,1,True,15,0,4,0,27102
32404,1,True,15,0,9,0,27108
32410,0,True,20,0,10,0,27113
32414,0,True,16,0,8,0,27117
32425,0,True,19,0,7,0,27125
32427,0,True,18,0,2,0,27127
32437,0,True,19,0,8,0,27133
32446,1,True,15,0,7,0,27140
32447,0,True,20,0,4,0,27141
32448,1,True,10,0,10,0,27142
32449,0,True,19,0,10,1,27142
32453,0,True,20,0,10,0,27145
32456,0,True,19,0,2,0,27147
32462,0,True,20,0,7,0,27152
32465,1,True,10,0,7,0,27155
32466,0,True,20,0,7,1,27155
32488,1,True,13,0,9,0,27176
32489,0,True,20,0,9,1,27176
32492,0,True,20,0,3,0,27179
32497,0,True,19,1,8,0,27185
32505,1,True,19,0,2,0,27192
32508,0,True,19,0,10,0,27195
32513,0,True,17,0,10,0,27199
32515,1,True,7,0,6,0,27201
32516,0,True,15,0,6,1,27201
32529,0,True,20,0,10,0,27212
32535,0,True,18,0,8,0,27216
32537,1,True,19,1,3,0,27218
32538,0,True,19,1,3,1,27218
32546,1,True,8,0,6,0,27224
32547,0,True,18,0,6,1,27224
32550,0,True,20,0,10,0,27227
32554,0,True,17,0,7,0,27233
32556,0,True,20,0,5,0,27235
32560,0,True,19,0,10,0,27238
32565,0,True,16,0,9,0,27242
32569,1,True,10,0,4,0,27246
32570,0,True,19,0,4,1,27246
32576,1,True,12,0,3,0,27252
32581,0,True,15,0,5,0,27257
32586,0,True,20,0,2,0,27263
32592,1,True,7,0,3,0,27269
32593,0,True,17,0,3,1,27269
32603,1,True,13,1,3,0,27277
32606,0,True,15,0,10,0,27280
32617,0,True,19,0,10,0,27289
32622,0,True,17,0,5,0,27293
32633,0,True,18,0,4,0,27301
32646,0,True,18,0,6,0,27311
32650,1,True,9,0,10,0,27316
32651,0,True,20,1,10,1,27316
32659,0,True,20,0,10,0,27322
32662,0,True,16,0,4,0,27324
32664,0,True,17,0,9,0,27326
32668,0,True,20,0,7,0,27329
32671,1,True,11,0,9,0,27332
32681,0,True,19,0,10,0,27340
32684,0,True,18,1,3,0,27343
32687,0,True,20,0,10,0,27346
32688,0,True,17,0,3,0,27347
32695,1,True,18,0,4,0,27356
32696,0,True,19,1,4,1,27356
32703,1,True,8,0,6,0,27362
32704,1,True,18,0,6,1,27362
32711,0,True,20,0,10,0,27368
32713,1,True,12,0,4,0,27370
32714,1,True,17,0,4,1,27370
32715,0,True,18,1,4,2,27370
32727,0,True,20,1,6,0,27380
32729,0,True,18,0,6,0,27383
32736,0,True,13,0,8,0,27389
32744,0,True,19,1,7,0,27396
32747,1,True,10,0,6,0,27399
32748,0,True,20,0,6,1,27399
32752,0,True,18,0,7,0,27402
32757,0,True,16,0,2,0,27407
32759,0,True,20,0,3,0,27409
32760,0,True,19,1,4,0,27410
32783,0,True,16,0,9,0,27427
32791,1,True,18,0,3,0,27434
32792,0,True,19,1,3,1,27434
32793,1,True,6,0,8,0,27436
32794,1,True,10,0,8,1,27436
32795,0,True,19,0,8,2,27436
32796,0,True,18,0,4,0,27437
32800,1,True,7,0,2,0,27440
32801,0,True,16,0,2,1,27440
32804,1,True,10,0,9,0,27442
32811,0,True,17,1,3,0,27447
32813,1,True,16,0,11,0,27449
32816,0,True,13,0,2,0,27452
32823,1,True,13,0,6,0,27458
32824,1,True,19,0,6,1,27458
32825,0,True,20,1,6,2,27458
32833,0,True,20,0,9,0,27465
32843,1,True,20,1,3,0,27475
32844,0,True,16,1,3,1,27475
32852,0,True,18,0,4,0,27480
32853,1,True,10,0,3,0,27481
32854,0,True,20,0,3,1,27481
32856,1,True,20,0,3,0,27483
32857,0,True,20,0,10,0,27484
32860,0,True,14,1,3,0,27486
32863,1,True,15,0,3,0,27489
32864,0,True,17,0,3,1,27489
32866,1,True,7,0,11,0,27491
32867,1,True,9,0,11,1,27491
32868,0,True,19,0,11,2,27491
32871,1,True,10,0,11,0,27493
32872,0,True,20,0,11,1,27493
32874,1,True,15,0,9,0,27496
32875,0,True,16,1,9,1,27496
32877,0,True,18,0,10,0,27498
32880,0,True,20,1,7,0,27502
32886,0,True,19,1,9,0,27508
32887,1,True,10,0,3,0,27509
32888,0,True,18,0,3,1,27509
32889,0,True,15,0,3,0,27510
32891,0,True,17,0,5,0,27512
32892,0,True,19,0,6,0,27513
32893,0,True,20,0,6,0,27514
32902,0,True,18,0,9,0,27523
32903,1,True,15,0,7,0,27524
32904,1,True,17,0,7,1,27524
32905,0,True,18,1,7,2,27524
32914,1,True,12,0,4,0,27534
32915,0,True,18,0,4,1,27534
32919,1,True,10,0,10,0,27538
32920,0,True,20,0,10,1,27538
32923,1,True,7,0,7,0,27541
32924,0,True,15,0,7,1,27541
32929,0,True,18,0,10,0,27544
32930,0,True,20,0,8,0,27545
32931,0,True,20,0,6,0,27546
32939,1,True,6,0,10,0,27554
32940,1,True,10,0,10,1,27554
32941,0,True,19,0,10,2,27554
32942,1,True,14,0,8,0,27555
32943,0,True,18,0,8,1,27555
32949,0,True,18,0,6,0,27560
32950,1,True,15,1,2,0,27561
32951,1,True,14,1,2,1,27561
32952,0,True,19,1,2,2,27561
32953,1,True,11,0,9,0,27562
32954,0,True,16,0,11,0,27563
32963,0,True,19,0,6,0,27571
32977,1,True,10,0,4,0,27586
32978,0,True,14,0,4,1,27586
32980,0,True,20,0,7,0,27588
32984,0,True,16,1,4,0,27592
32997,1,True,13,0,6,0,27602
33002,0,True,18,0,6,0,27607
33007,0,True,18,0,9,0,27610
33008,1,True,9,0,11,0,27612
33009,0,True,19,0,11,1,27612
33012,1,True,12,0,10,0,27614
33013,0,True,19,0,10,1,27614
33025,0,True,18,0,4,0,27624
33032,0,True,17,0,5,0,27631
33036,1,True,10,0,3,0,27633
33037,0,True,20,0,3,1,27633
33047,0,True,18,0,4,0,27642
33051,1,True,10,0,10,0,27645
33053,0,True,20,1,11,0,27647
33054,0,True,20,0,9,0,27648
33079,0,True,18,0,5,0,27667
33081,0,True,19,0,6,0,27669
33087,0,True,20,1,10,0,27674
33094,0,True,15,0,2,0,27681
33096,0,True,18,0,6,0,27683
33097,1,True,9,0,4,0,27684
33098,0,True,20,1,4,1,27684
33102,1,True,11,0,11,0,27688
33105,1,True,4,0,3,0,27690
33106,1,True,7,0,3,1,27690
33107,1,True,17,0,3,2,27690
33108,0,True,20,0,3,3,27690
33110,0,True,20,0,7,0,27693
33117,0,True,19,1,9,0,27699
33118,0,True,19,0,3,0,27700
33126,1,True,7,0,2,0,27707
33127,0,True,16,0,2,1,27707
33146,1,True,10,0,10,0,27727
33147,0,True,20,0,10,1,27727
33151,1,True,17,0,11,0,27731
33152,0,True,20,0,11,1,27731
33158,1,True,10,0,10,0,27737
33159,1,True,16,0,10,1,27737
33164,0,True,18,0,10,0,27743
33166,0,True,15,0,4,0,27746
33172,0,True,19,1,4,0,27752
33183,0,True,17,0,10,0,27761
33187,0,True,20,0,10,0,27764
33188,0,True,17,0,6,0,27765
33189,0,True,19,1,10,0,27766
33193,0,True,17,0,8,0,27769
33198,1,True,13,0,6,0,27773
33199,0,True,20,0,2,0,27774
33201,1,True,15,0,2,0,27776
33202,1,True,7,0,8,0,27777
33203,0,True,17,0,8,1,27777
33208,0,True,20,0,9,0,27780
33209,1,True,11,0,10,0,27781
33210,0,True,15,1,3,0,27783
33226,1,True,16,0,10,0,27799
33227,0,True,19,0,10,1,27799
33241,0,True,20,0,8,0,27809
33244,0,True,19,1,10,0,27812
33249,0,True,20,1,8,0,27816
33266,1,True,11,0,11,0,27830
33267,1,True,16,0,11,1,27830
33268,0,True,19,0,11,2,27830
33273,0,True,20,0,4,0,27834
33278,0,True,20,0,4,0,27838
33286,0,True,20,1,6,0,27846
33288,0,True,17,0,10,0,27848
33291,1,True,10,0,9,0,27850
33292,1,True,15,0,9,1,27850
33294,0,True,13,0,5,0,27852
33302,0,True,20,0,8,0,27859
33350,0,True,20,0,3,0,27900
33352,0,True,19,0,7,0,27902
33355,1,True,7,0,6,0,27905
33356,0,True,18,1,6,1,27905
33363,0,True,16,0,7,0,27910
33368,0,True,15,1,2,0,27915
33373,0,True,18,0,2,0,27919
33375,1,True,8,0,7,0,27921
33376,0,True,18,0,7,1,27921
33386,0,True,20,0,4,0,27931
33389,0,True,20,0,10,0,27934
33393,0,True,20,0,10,0,27937
33395,0,True,16,0,2,0,27939
33401,1,True,10,0,8,0,27943
33402,1,True,16,0,8,1,27943
33407,0,True,18,0,11,0,27948
33413,1,True,13,0,4,0,27953
33414,0,True,20,0,4,1,27953
33415,0,True,17,0,3,0,27954
33445,1,True,14,0,7,0,27975
33446,1,True,19,0,7,1,27975
33447,0,True,20,1,7,2,27975
33450,0,True,19,0,6,0,27978
33454,0,True,19,0,10,0,27982
33455,0,True,20,0,11,0,27983
33478,0,True,20,0,10,0,28005
33482,0,True,16,0,8,0,28009
33483,0,True,14,1,3,0,28010
33489,0,True,20,0,2,0,28017
33492,0,True,20,0,9,0,28020
33493,1,True,8,0,9,0,28021
33494,1,True,12,0,9,1,28021
33495,0,True,16,0,9,2,28021
33498,0,True,16,1,4,0,28024
33508,1,True,16,1,4,0,28033
33509,0,True,20,0,2,0,28034
33510,1,True,14,0,10,0,28035
33517,1,True,16,0,5,0,28042
33518,0,True,17,1,5,1,28042
33531,1,True,10,0,5,0,28054
33541,0,True,20,0,2,0,28063
33542,1,True,20,0,6,0,28064
33544,0,True,17,0,3,0,28066
33551,1,True,15,0,7,0,28074
33553,0,True,15,0,4,0,28076
33557,1,True,5,0,6,0,28079
33558,0,True,15,0,6,1,28079
33563,1,True,17,1,9,0,28085
33564,0,True,18,2,9,1,28085
33565,0,True,20,1,10,0,28087
33568,1,True,9,0,5,0,28090
33569,0,True,19,0,5,1,28090
33570,1,True,17,0,10,0,28091
33571,0,True,18,1,10,1,28091
33575,0,True,20,0,4,0,28095
33576,1,True,10,0,10,0,28096
33577,0,True,19,0,10,1,28096
33579,0,True,19,0,8,0,28098
33582,1,True,19,0,4,0,28100
33583,0,True,20,1,4,1,28100
33585,1,True,11,0,10,0,28102
33586,1,True,12,1,10,1,28102
33598,0,True,17,0,5,0,28110
33603,1,True,19,0,7,0,28115
33604,0,True,20,0,5,0,28116
33608,0,True,20,1,9,0,28120
33614,1,True,10,0,5,0,28124
33615,0,True,13,0,5,1,28124
33616,0,True,20,0,10,0,28125
33617,1,True,7,0,6,0,28126
33618,1,True,10,0,6,1,28126
33619,0,True,20,0,6,2,28126
33629,0,True,18,0,8,0,28138
33631,0,True,17,0,8,0,28140
33637,0,True,19,0,7,0,28144
33645,0,True,15,1,5,0,28150
33659,1,True,10,0,5,0,28159
33662,1,True,16,1,5,0,28162
33663,0,True,16,1,5,1,28162
33676,1,True,13,0,3,0,28175
33683,1,True,10,0,5,0,28180
33687,0,True,18,0,3,0,28184
33698,0,True,16,0,10,0,28194
33703,0,True,20,0,6,0,28198
33710,1,True,6,0,9,0,28203
33711,1,True,10,0,9,1,28203
33712,0,True,20,0,9,2,28203
33717,0,True,13,0,2,0,28208
33726,0,True,15,0,2,0,28217
33729,0,True,20,1,4,0,28219
33733,0,True,19,0,3,0,28222
33734,0,True,20,0,6,0,28223
33739,0,True,19,0,3,0,28228
33746,1,True,10,0,10,0,28232
33747,0,True,20,0,10,1,28232
33748,1,True,6,0,9,0,28233
33749,1,True,14,0,9,1,28233
33750,0,True,16,0,9,2,28233
33753,1,True,10,0,10,0,28236
33754,0,True,20,0,10,1,28236
33756,0,True,19,0,2,0,28239
33757,1,True,14,0,11,0,28240
33758,0,True,18,0,11,1,28240
33759,0,True,16,0,10,0,28241
33765,1,True,16,0,7,0,28248
33773,1,True,14,0,10,0,28254
33774,0,True,20,0,10,1,28254
33777,1,True,17,0,2,0,28257
33778,0,True,20,0,2,1,28257
33781,1,True,14,1,6,0,28261
33782,0,True,18,1,6,1,28261
33786,0,True,20,0,2,0,28266
33789,0,True,13,0,4,0,28269
33797,1,True,12,0,10,0,28276
33798,0,True,20,0,10,1,28276
33800,1,True,14,0,2,0,28278
33801,0,True,18,0,2,1,28278
33802,0,True,20,1,8,0,28279
33816,0,True,20,0,10,0,28290
33817,0,True,20,0,8,0,28291
33824,0,True,18,0,2,0,28297
33831,0,True,20,1,5,0,28302
33832,0,True,17,0,4,0,28303
33837,0,True,18,0,2,0,28307
33839,1,True,14,0,8,0,28309
33840,1,True,18,0,8,1,28309
33847,1,True,20,0,3,0,28314
33852,0,True,20,0,9,0,28319
33854,0,True,20,0,10,0,28321
33860,0,True,18,0,2,0,28327
33862,1,True,16,0,7,0,28330
33863,0,True,18,0,7,1,28330
33864,0,True,19,0,6,0,28332
33865,1,True,10,0,10,0,28333
33867,1,True,14,1,2,0,28335
33868,0,True,20,1,2,1,28335
33869,1,True,10,0,6,0,28336
33870,1,True,15,0,6,1,28336
33871,0,True,18,0,6,2,28336
33874,0,True,20,0,10,0,28338
33875,1,True,10,0,3,0,28339
33876,0,True,20,0,3,1,28339
33881,0,True,13,0,10,0,28342
33885,1,True,16,1,3,0,28345
33886,0,True,20,1,3,1,28345
33892,0,True,18,0,10,0,28350
33906,0,True,20,1,4,0,28364
33927,0,True,20,1,3,0,28385
33935,0,True,18,0,10,0,28391
33948,1,True,10,0,8,0,28401
33951,1,True,17,0,11,0,28404
33952,0,True,20,0,11,1,28404
33953,1,True,6,0,2,0,28405
33954,0,True,16,0,2,1,28405
33963,1,True,11,0,10,0,28412
33966,0,True,19,1,9,0,28415
33973,1,True,8,0,4,0,28422
33974,1,True,14,0,4,1,28422
33975,0,True,17,0,4,2,28422
33978,0,True,20,1,5,0,28424
33985,1,True,9,0,11,0,28431
33986,0,True,20,1,11,1,28431
33988,1,True,12,0,5,0,28433
33989,0,True,19,0,5,1,28433
33990,0,True,19,0,4,0,28434
33995,0,True,20,1,4,0,28438
34000,1,True,17,0,7,0,28443
34001,0,True,20,0,7,1,28443
34005,1,True,10,0,10,0,28447
34006,0,True,20,0,10,1,28447
34008,0,True,20,0,5,0,28449
34010,0,True,16,0,2,0,28451
34016,0,True,15,0,10,0,28455
34032,0,True,15,0,5,0,28469
34038,1,True,7,0,10,0,28474
34039,1,True,17,0,10,1,28474
34040,0,True,20,0,4,0,28475
34043,1,True,15,0,10,0,28478
34044,0,True,17,0,10,1,28478
34045,0,True,20,0,3,0,28480
34046,1,True,15,0,4,0,28481
34047,0,True,20,0,4,1,28481
34048,1,True,15,1,11,0,28482
34053,1,True,9,0,3,0,28486
34054,0,True,17,0,3,1,28486
34055,1,True,15,0,10,0,28487
34056,0,True,20,0,10,1,28487
34061,1,True,13,0,10,0,28492
34062,1,True,18,0,10,1,28492
34064,1,True,9,0,10,0,28494
34065,1,True,20,1,10,1,28494
34066,0,True,20,1,10,2,28494
34072,1,True,12,0,4,0,28498
34073,0,True,14,0,4,1,28498
34074,0,True,19,0,10,0,28499
34077,0,True,20,0,8,0,28502
34079,0,True,16,0,5,0,28504
34081,1,True,16,1,4,0,28506
34082,0,True,16,1,4,1,28506
34083,0,True,20,0,9,0,28507
34085,0,True,20,0,9,0,28509
34102,0,True,20,0,5,0,28524
34105,0,True,17,0,8,0,28526
34113,0,True,20,0,9,0,28532
34120,1,True,10,0,11,0,28537
34121,0,True,20,0,11,1,28537
34122,0,True,20,0,4,0,28538
34123,0,True,19,0,6,0,28539
34129,1,True,17,0,10,0,28544
34130,0,True,20,0,10,1,28544
34131,0,True,17,0,10,0,28545
34142,0,True,20,0,9,0,28554
34151,0,True,20,1,2,0,28562
34155,1,True,8,0,8,0,28565
34156,0,True,19,1,8,1,28565
34174,1,True,14,0,10,0,28579
34175,0,True,19,0,10,1,28579
34179,1,True,16,0,10,0,28582
34182,0,True,18,0,10,0,28584
34195,0,True,17,0,3,0,28594
34200,0,True,15,0,9,0,28600
34205,0,True,20,0,5,0,28603
34210,1,True,9,0,5,0,28611
34211,0,True,19,0,5,1,28611
34212,0,True,16,0,4,0,28612
34215,0,True,20,0,4,0,28616
34230,0,True,14,0,6,0,28634
34234,1,True,9,0,4,0,28639
34235,0,True,19,0,4,1,28639
34260,1,True,12,0,9,0,28661
34262,0,True,16,0,3,0,28663
34264,1,True,16,0,10,0,28666
34265,0,True,20,0,10,1,28666
34266,0,True,20,1,6,0,28667
34267,1,True,9,0,7,0,28668
34268,0,True,19,0,7,1,28668
34282,1,True,12,0,4,0,28681
34283,0,True,19,0,4,1,28681
34290,1,True,10,0,10,0,28687
34297,0,True,19,0,7,0,28693
34310,1,True,9,0,2,0,28707
34311,0,True,19,0,2,1,28707
34317,0,True,20,0,3,0,28713
34320,0,True,20,0,9,0,28716
34322,0,True,20,0,10,0,28718
34325,1,True,5,0,8,0,28722
34326,1,True,12,0,8,1,28722
34327,0,True,20,0,8,2,28722
